 Count  Overhead File                                                                                                             Line Function
     4         0 @Base/special/trig.jl                                                                                              71 sin_kernel
     4         0 @Base/special/trig.jl                                                                                              72 sin_kernel
     4         0 @Base/special/trig.jl                                                                                             142 cos_kernel
     4         0 @RTM/src/lidf.jl                                                                                                    6 dcum(::Float64, ::Float64, ::Int64)
     4         0 @RTM/src/volscatt.jl                                                                                                9 volscatt(::Int64, ::Int64, ::Int64, ::Int64)
     4         4 @Base/float.jl                                                                                                      ? rem_pio2_kernel
     5         0 @Base/special/rem_pio2.jl                                                                                         224 rem_pio2_kernel
     5         0 @Base/special/trig.jl                                                                                              79 sin_kernel
     5         0 @Base/special/trig.jl                                                                                              81 sin_kernel
     5         0 @Base/special/trig.jl                                                                                             139 cos_kernel
     5         0 @RTM/src/volscatt.jl                                                                                               53 volscatt(::Int64, ::Int64, ::Int64, ::Int64)
     5         3 @Base/special/trig.jl                                                                                             101 cos(::Float64)
     5         4 @RTM/src/sail.jl                                                                                                   74 foursail(::Float64, ::Float64, ::Float64, ::Int64, ::Float64, ::Int64, ::Int64, ::Int64)
     5         5 @Base/float.jl                                                                                                    401 +(::Float64, ::Float64)
     5         5 @Base/float.jl                                                                                                    407 /(::Float64, ::Float64)
     5         5 @Base/float.jl                                                                                                    454 ==
     5         5 @RTM/src/sail.jl                                                                                                   13 foursail(::Float64, ::Float64, ::Float64, ::Int64, ::Float64, ::Int64, ::Int64, ::Int64)
     5         5 @RTM/src/suits.jl                                                                                                  51 suits(::Array{Real,1}, ::Array{Float64,1}, ::Int64, ::Int64, ::Float64, ::Float64, ::Int64, ::Float64)
     6         0 @Base/float.jl                                                                                                    494 <
     6         0 @Base/operators.jl                                                                                                294 >(::Float64, ::Int64)
     6         0 @Base/special/rem_pio2.jl                                                                                          53 cody_waite_2c_pio2
     6         0 @Base/special/rem_pio2.jl                                                                                         221 rem_pio2_kernel
     6         0 @RTM/src/refltrans.jl                                                                                              13 refltrans(::Int64, ::Float64, ::Float64, ::Float64, ::Float64, ::Float64, ::Float64, ::Float64, ::Float64, ::Float64, ::Float64, ::Float64)
     6         0 @RTM/src/tav_abs.jl                                                                                                27 tav_abs(::Int64, ::Float64)
     6         1 @Base/abstractarray.jl                                                                                           1372 typed_vcat(::Type{Float64}, ::Array{Float64,2}, ::Array{Float64,2}, ::Array{Float64,2}, ::Vararg{Array{Float64,2},N} where N)
     6         1 @Base/multidimensional.jl                                                                                         774 _unsafe_setindex!(::IndexLinear, ::Array{Float64,2}, ::Array{Float64,2}, ::UnitRange{Int64}, ::Base.Slice{Base.OneTo{Int64}})
     6         6 @Base/float.jl                                                                                                    405 *(::Float64, ::Float64)
     6         6 @Base/int.jl                                                                                                      277 &
     7         0 @Base/abstractarray.jl                                                                                           1279 hcat
     7         0 @Base/abstractarray.jl                                                                                           1451 __cat(::Array{Float64,1}, ::Tuple{Int64}, ::Tuple{Bool}, ::Array{Float64,1}, ::Vararg{Any,N} where N)
     7         0 @Base/float.jl                                                                                                    503 <(::Float64, ::Int64)
     7         0 @Base/promotion.jl                                                                                                259 _promote
     7         0 @Base/promotion.jl                                                                                                282 promote
     7         0 @Base/special/trig.jl                                                                                             105 cos(::Float64)
     7         0 @RTM/src/gpm.jl                                                                                                    13 gpm(::Float64, ::Float64, ::Float64)
     7         0 @RTM/src/gpm.jl                                                                                                    52 gpm(::Float64, ::Float64, ::Float64)
     7         0 @RTM/src/volscatt.jl                                                                                               14 volscatt(::Int64, ::Int64, ::Int64, ::Int64)
     7         1 /Users/julia/buildbot/worker/package_macos64/build/usr/share/julia/stdlib/v1.4/SparseArrays/src/sparsevector.jl  1078 vcat(::Array{Float64,2}, ::Array{Float64,2}, ::Array{Float64,2}, ::Vararg{Array{Float64,2},N} where N)
     7         3 @Base/abstractarray.jl                                                                                           1465 __cat(::Array{Float64,1}, ::Tuple{Int64}, ::Tuple{Bool}, ::Array{Float64,1}, ::Vararg{Any,N} where N)
     7         3 @RTM/src/refltrans.jl                                                                                              48 Jfunc1(::Float64, ::Float64, ::Int64)
     7         7 @Base/array.jl                                                                                                    825 setindex!
     7         7 @Base/float.jl                                                                                                     60 Float64
     7         7 @Base/special/trig.jl                                                                                              31 sin(::Float64)
     8         0 @Base/int.jl                                                                                                      434 >>>
     8         0 @Base/math.jl                                                                                                    1136 highword
     8         0 @Base/number.jl                                                                                                     7 convert
     8         0 @Base/special/rem_pio2.jl                                                                                         245 rem_pio2_kernel
     8         0 @RTM/src/gpm.jl                                                                                                    11 gpm(::Float64, ::Float64, ::Float64)
     8         1 @RTM/src/prospect.jl                                                                                                6 gpm_k(::Array{Float64,1}, ::Array{Float64,1}, ::Float64)
     8         4 @Base/special/trig.jl                                                                                             100 cos(::Float64)
     8         8 @Base/float.jl                                                                                                    458 <
     8         8 @Base/int.jl                                                                                                      426 >>>
     8         8 @RTM/src/suits.jl                                                                                                  49 suits(::Array{Real,1}, ::Array{Float64,1}, ::Int64, ::Int64, ::Float64, ::Float64, ::Int64, ::Float64)
     9         0 @Base/math.jl                                                                                                    1149 poshighword
     9         0 @Base/special/trig.jl                                                                                              36 sin(::Float64)
     9         0 @RTM/src/refltrans.jl                                                                                               4 refltrans(::Int64, ::Float64, ::Float64, ::Float64, ::Float64, ::Float64, ::Float64, ::Float64, ::Float64, ::Float64, ::Float64, ::Float64)
     9         0 @RTM/src/volscatt.jl                                                                                                5 volscatt(::Int64, ::Int64, ::Int64, ::Int64)
     9         9 @RTM/src/sail.jl                                                                                                   73 foursail(::Float64, ::Float64, ::Float64, ::Int64, ::Float64, ::Int64, ::Int64, ::Int64)
     9         9 @RTM/src/suits.jl                                                                                                  48 suits(::Array{Real,1}, ::Array{Float64,1}, ::Int64, ::Int64, ::Float64, ::Float64, ::Int64, ::Float64)
     9         9 @RTM/src/volscatt.jl                                                                                                ? volscatt(::Int64, ::Int64, ::Int64, ::Int64)
    10         0 @Base/abstractarray.jl                                                                                           1279 hcat(::Float64, ::Float64, ::Float64, ::Vararg{Float64,N} where N)
    10         0 @Base/array.jl                                                                                                   1597 vcat(::Array{Int64,1}, ::Array{Int64,1})
    10         0 @Base/float.jl                                                                                                    536 isnan
    10         0 @Base/promotion.jl                                                                                                314 /
    10        10 @Base/abstractarray.jl                                                                                           1463 __cat(::Array{Float64,1}, ::Tuple{Int64}, ::Tuple{Bool}, ::Array{Float64,1}, ::Vararg{Any,N} where N)
    10        10 @Base/float.jl                                                                                                    456 !=
    11         0 @Base/special/rem_pio2.jl                                                                                          52 cody_waite_2c_pio2
    11         0 @Base/special/rem_pio2.jl                                                                                         238 rem_pio2_kernel
    11        11 @Base/array.jl                                                                                                    787 getindex
    11        11 @Base/broadcast.jl                                                                                               1238 broadcasted(::Function, ::Int64, ::Base.OneTo{Int64})
    11        11 @Base/essentials.jl                                                                                               416 reinterpret
    11        11 @RTM/src/suits.jl                                                                                                  52 suits(::Array{Real,1}, ::Array{Float64,1}, ::Int64, ::Int64, ::Float64, ::Float64, ::Int64, ::Float64)
    12         0 @Base/array.jl                                                                                                    504 zeros
    12        12 @RTM/src/volscatt.jl                                                                                                2 volscatt(::Int64, ::Int64, ::Int64, ::Int64)
    13         0 @Base/abstractarray.jl                                                                                           1450 __cat(::Array{Float64,1}, ::Tuple{Int64}, ::Tuple{Bool}, ::Array{Float64,1}, ::Vararg{Any,N} where N)
    13         0 @Base/array.jl                                                                                                    500 zeros
    13         0 @Base/float.jl                                                                                                    554 isfinite
    13         0 @Base/float.jl                                                                                                    564 isinf
    13         0 @RTM/src/sail.jl                                                                                                   58 foursail(::Float64, ::Float64, ::Float64, ::Int64, ::Float64, ::Int64, ::Int64, ::Int64)
    13        13 @RTM/src/suits.jl                                                                                                  47 suits(::Array{Real,1}, ::Array{Float64,1}, ::Int64, ::Int64, ::Float64, ::Float64, ::Int64, ::Float64)
    14        14 @Base/int.jl                                                                                                      411 <=
    15         0 @Base/promotion.jl                                                                                                312 *
    15         7 @RTM/src/sail.jl                                                                                                   63 foursail(::Float64, ::Float64, ::Float64, ::Int64, ::Float64, ::Int64, ::Int64, ::Int64)
    15        15 @RTM/src/suits.jl                                                                                                  50 suits(::Array{Real,1}, ::Array{Float64,1}, ::Int64, ::Int64, ::Float64, ::Float64, ::Int64, ::Float64)
    16         0 @Base/special/trig.jl                                                                                              80 sin_kernel
    16         5 @Base/special/trig.jl                                                                                              50 sin(::Float64)
    16         9 @Base/abstractarray.jl                                                                                           1449 __cat(::Array{Float64,1}, ::Tuple{Int64}, ::Tuple{Bool}, ::Array{Float64,1}, ::Vararg{Any,N} where N)
    17         0 @Base/array.jl                                                                                                    657 _array_for
    17         0 @Base/boot.jl                                                                                                     415 Array
    17         2 @RTM/src/lidf.jl                                                                                                   18 dcum(::Float64, ::Float64, ::Int64)
    17        11 @Base/multidimensional.jl                                                                                         769 _setindex!
    17        17 @Base/boot.jl                                                                                                     407 Array
    18        13 @Base/special/rem_pio2.jl                                                                                         231 rem_pio2_kernel
    18        18 @Base/float.jl                                                                                                    407 /
    18        18 @Base/special/rem_pio2.jl                                                                                           ? rem_pio2_kernel
    19         0 @Base/abstractarray.jl                                                                                           1073 setindex!
    19         0 @Base/special/trig.jl                                                                                              82 sin_kernel
    20         0 @Base/math.jl                                                                                                    1148 poshighword
    20         0 @Base/special/rem_pio2.jl                                                                                         219 rem_pio2_kernel
    21        11 @RTM/src/sail.jl                                                                                                   76 foursail(::Float64, ::Float64, ::Float64, ::Int64, ::Float64, ::Int64, ::Int64, ::Int64)
    21        13 @RTM/src/sail.jl                                                                                                   55 foursail(::Float64, ::Float64, ::Float64, ::Int64, ::Float64, ::Int64, ::Int64, ::Int64)
    22         0 @Base/special/trig.jl                                                                                              74 sin_kernel
    22        15 @RTM/src/sail.jl                                                                                                   66 foursail(::Float64, ::Float64, ::Float64, ::Int64, ::Float64, ::Int64, ::Int64, ::Int64)
    22        17 @RTM/src/volscatt.jl                                                                                               86 volscatt(::Int64, ::Int64, ::Int64, ::Int64)
    23         0 @RTM/src/volscatt.jl                                                                                               13 volscatt(::Int64, ::Int64, ::Int64, ::Int64)
